Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
1603, 1.67474699e+00, 2.93236694e+02, 1.00793935e-01, -9.90972668e-02, -1.76130310e-02, 5.37863141e-03, 1.36577177e+00, 1.50000000e+00, 2.86486721e+00
1604, 1.67710257e+00, 2.93253906e+02, 9.30097252e-02, -8.85733888e-02, -2.64522266e-02, 1.02880178e-02, 1.50520182e+00, 1.50000000e+00, 2.84042168e+00
1605, 1.67911768e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47765970e+00, 1.50000000e+00, 3.00000000e+00
1606, 1.68067396e+00, 2.93206970e+02, 1.06332757e-01, -1.06207795e-01, 5.13921864e-03, -3.84810439e-04, 1.56151843e+00, 1.50000000e+00, 2.94024253e+00
1607, 1.67288494e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.26948786e+00, 1.50000000e+00, 3.00000000e+00
1608, 1.70033741e+00, 2.93211731e+02, 1.43349335e-01, -1.35510877e-01, 4.67398949e-02, 1.10276754e-03, 2.01988769e+00, 1.50000000e+00, 2.96762514e+00
1609, 1.69836473e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.96689057e+00, 1.50000000e+00, 3.00000000e+00
1610, 1.69819272e+00, 2.93237701e+02, 1.10216938e-01, -1.10044494e-01, 4.11817338e-03, 4.58516134e-03, 2.01793385e+00, 1.50000000e+00, 2.90316486e+00
1611, 1.70289493e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.05736971e+00, 1.50000000e+00, 3.00000000e+00
1612, 1.69222975e+00, 2.93150024e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.85106540e+00, 1.50000000e+00, 3.00000000e+00
1613, 1.68906713e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76887822e+00, 1.50000000e+00, 3.00000000e+00
1614, 1.68663466e+00, 2.93253052e+02, 1.51456103e-01, -1.51408240e-01, -1.50220399e-03, 3.49813770e-03, 1.73136985e+00, 1.50000000e+00, 2.87330770e+00
1615, 1.68286145e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62026632e+00, 1.50000000e+00, 3.00000000e+00
1616, 1.68043303e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.55566490e+00, 1.50000000e+00, 3.00000000e+00
1617, 1.67171526e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10738611e+00, 1.50000000e+00, 3.00000000e+00
1618, 1.67239618e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.01073503e+00, 1.50000000e+00, 3.00000000e+00
1619, 1.66916466e+00, 2.93197876e+02, 5.32353371e-02, -5.06929867e-02, -1.24171609e-02, -1.04898252e-02, 1.02727318e+00, 1.50000000e+00, 2.88942337e+00
1620, 1.67040253e+00, 2.93250549e+02, 1.37598678e-01, -1.37156919e-01, -1.08954422e-02, 1.63187983e-03, 1.21494889e+00, 1.50000000e+00, 2.84164405e+00
1621, 1.67165029e+00, 2.93204529e+02, 9.66436416e-02, -9.47994739e-02, 1.00875488e-02, -1.58522371e-02, 9.43788886e-01, 1.50000000e+00, 2.91046047e+00
1622, 1.67368793e+00, 2.93170898e+02, 3.70175876e-02, -3.63112129e-02, 3.86385224e-03, -6.07191166e-03, 8.16442132e-01, 1.50000000e+00, 2.96570349e+00
1623, 1.67407238e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.31542671e-01, 1.50000000e+00, 3.00000000e+00
1624, 1.68549275e+00, 2.93304657e+02, 1.35527283e-01, -7.79022500e-02, 2.03930605e-02, -1.09009206e-01, 4.01141942e-01, 1.50000000e+00, 2.54943919e+00
1625, 1.68098760e+00, 2.93302002e+02, 7.88060650e-02, 4.14929762e-02, 9.72359255e-03, -6.62886128e-02, 5.03878057e-01, 1.50000000e+00, 2.38000488e+00
1626, 1.67403889e+00, 2.93297058e+02, 9.08260420e-02, -7.01131597e-02, -1.10817896e-02, -5.66631183e-02, 6.56820178e-01, 1.50000000e+00, 2.53928256e+00
1627, 1.68499315e+00, 2.93295654e+02, 2.20822975e-01, -2.09563091e-01, 4.26256619e-02, -5.50377145e-02, 5.14354408e-01, 1.50000000e+00, 2.76161432e+00
